URL,Domain,Anchor
http://www.adoreme.com/l1/,adoreme.com,AdoreMe
https://aloha.com/home,aloha.com,Aloha
https://www.allbirds.com/,allbirds.com,Allbirds
http://www.american-giant.com/,american-giant.com,American Giant
https://www.awaytravel.com/,awaytravel.com,Away
https://www.ayr.com/,ayr.com,AYR
http://www.beltology.com/,beltology.com,Beltology
https://getbevel.com/,getbevel.com,Bevel
https://blackmilkclothing.com/,blackmilkclothing.com,BlackMilk
https://bonobos.com/,bonobos.com,Bonobos
https://www.thebouqs.com/,thebouqs.com,The Bouqs
http://www.brilliant.co/,brilliant.co,Brilliant Bicycle
https://www.brosa.com.au/,brosa.com.au,Brosa
http://www.bucketfeet.com,bucketfeet.com,Bucketfeet
https://casper.com/,casper.com,Casper
https://www.chubbiesshorts.com/,chubbiesshorts.com,Chubbies
https://www.combatgent.com/,combatgent.com,Combatant Gentleman
https://www.cotopaxi.com/,cotopaxi.com,Cotopaxi
http://www.cuyana.com/,cuyana.com,Cuyana
https://davidkind.com/,davidkind.com,David Kind
https://www.dollarshaveclub.com/,dollarshaveclub.com,Dollar Shave Club
http://www.eloquii.com/,eloquii.com,Eloquii
http://ernestalexander.com/,ernestalexander.com,Ernest Alexander
https://www.everlane.com/,everlane.com,Everlane
http://food52.com/,food52.com,Food52
https://floyddetroit.com/,floyddetroit.com,Floyd
http://www.frankandoak.com,frankandoak.com,Frank & Oak
https://www.glossier.com/#!/,glossier.com,Glossier
http://www.greats.com/,greats.com,Greats
http://www.greycork.com/,greycork.com,Greycork
https://www.harrys.com/,harrys.com,Harry?s
https://www.honest.com/,honest.com,Honest Company
https://www.hungryroot.com/,hungryroot.com,Hungry Root
http://www.indochino.com,indochino.com,Indochino
http://www.interiordefine.com/,interiordefine.com,Interior Define
http://www.jackerwin.com/,jackerwin.com,Jack Erwin
https://jomers.com/,jomers.com,Jomers
http://www.julep.com/,julep.com,Julep
http://www.justfab.com/,justfab.com,JustFab
http://www.koiocollective.com,koiocollective.com,Koio Collective
http://www.koparibeauty.com/,koparibeauty.com,Kopari Beauty
http://www.kuiu.com/,kuiu.com,Kuiu
https://www.ledbury.com/,ledbury.com,Ledbury
https://www.mylola.com/,mylola.com,LOLA
http://mgemi.com/women/,mgemi.com,M.Gemi
https://www.mackweldon.com/,mackweldon.com,Mack Weldon
https://mmlafleur.com/,mmlafleur.com,MM.LaFleur
https://www.meundies.com/,meundies.com,MeUndies
https://www.ministryofsupply.com/,ministryofsupply.com,Ministry of Supply
http://www.mizzenandmain.com/,mizzenandmain.com,Mizzen & Main
https://momentlens.co/,momentlens.co,Moment
https://www.monicaandandy.com/,monicaandandy.com,Monica & Andy
http://www.mvmtwatches.com/,mvmtwatches.com,MVMT Watches
http://www.noblebrewer.com/,noblebrewer.com,Noble Brewer
https://nootrobox.com/,nootrobox.com,Nootrobox
http://www.ora.organic/,ora.organic,Ora
https://www.outdoorvoices.com/,outdoorvoices.com,Outdoor Voices
https://www.pactcoffee.com/,pactcoffee.com,Pact Coffee
https://wearpact.com/,wearpact.com,Pact Underwear
https://www.parachutehome.com/,parachutehome.com,Parachute
http://www.paulevansny.com/,paulevansny.com,Paul Evans
https://www.pinrose.com/,pinrose.com,Pinrose
https://propercloth.com/,propercloth.com,Proper Cloth
https://www.getquip.com/,getquip.com,Quip
https://www.raden.com/,raden.com,Raden
https://www.ratioclothing.com/,ratioclothing.com,Ratio Clothing
https://www.rocketsofawesome.com/,rocketsofawesome.com,Rockets of Awesome
http://www.rokasports.com/,rokasports.com,Roka Sports
https://www.shoesofprey.com/,shoesofprey.com,Shoes of Prey
http://simplyframed.com/,simplyframed.com,Simply Framed
http://smartbedding.com/,smartbedding.com,Smart Bedding
http://www.solebicycles.com/,solebicycles.com,Sole Bicycles
http://snowehome.com/,snowehome.com,Snowe
https://www.stance.com/,stance.com,Stance
http://smartbedding.com/,smartbedding.com,Smart Bedding
http://www.solebicycles.com/,solebicycles.com,Sole Bicycles
http://snowehome.com/,snowehome.com,Snowe
https://www.stance.com/,stance.com,Stance
http://www.teacollection.com/,teacollection.com,Tea Collection
https://www.thirdlove.com/,thirdlove.com,ThirdLove
http://www.tieks.com,tieks.com,Tieks
https://tomboyx.com/,tomboyx.com,TomboyX
https://www.tommyjohn.com/underwear,tommyjohn.com,Tommy John
http://www.tortugabackpacks.com/,tortugabackpacks.com,Tortuga
https://www.tracksmith.com/,tracksmith.com,Tracksmith
https://trubrain.com/,trubrain.com,TruBrain
https://www.tuftandneedle.com/,tuftandneedle.com,Tuft & Needle
https://www.warbyparker.com/,warbyparker.com,Warby Parker
http://whippingpost.com/,whippingpost.com,Whipping Post
